text|source|page|chunk_id
"Evidence Review  Paper  2 
 
 
   January 2022  
  Corruption, crime 
and conflict in 
eastern Ukraine  
Iffat Idris1 
  1. GSDRC, University of Birmingham  
All correspondence to:  i.idris@bham.ac.uk"|input/report2.pdf|0|489ef6424c954dfb864beb2ee05eb940
"2 Acknowledgments  
The author wishes to thank Profess or Heather Marquette who reviewed the report and 
Victoria Bird -Ruiz Benito de Lugo and Matthew Waterfield  who provided additional 
guidance on  its development .  
Suggested citation  
Idris, I. (202 2). Political will and combatting serious organised crime . SOC ACE Evidence 
Synthesis  Paper No. 2 . Birmingham, UK: GSDRC, University of Birmingham.  
About the author   
Dr Iffat Idris is a Research Fellow at the GSDRC, International Development Department, 
University of Birmingham. She has extensive experience of working in the international 
development sector, notably with the UN System and World Bank.  Her areas of focus  
include conflict analysis, modern slavery, preventing/countering violent extremism 
(P/CVE) and humanitarian response. She is a Research Fellow with SOC ACE, delivering 
evidence synthesis for the programme."|input/report2.pdf|1|b6093de5392d48ef9748403ca74e232c
"3 About SOC ACE Evidence Review Papers  
SOC ACE E vidence Review Papers are desk -based reviews of open source research and 
data. They may be short pieces of synthesis, designed to fill urgent and/or specific gaps 
in knowledge for SOC ACE research that are likely to be of interest to a wider audience, 
or they may be longer, rigorous synthesis reviews across bodies of evidence to inform 
wider research, policy and practice.  
SOC ACE is funded by the UK Foreign, Commonwealth, & Development Office. The views 
expressed here do not necessarily reflect the UK Gove rnment’s official policies.  
About SOC ACE  
The Serious Organised Crime & Anti -Corruption Evidence (SOC ACE) research 
programme aims to help ‘unlock the black box of political will’ for tackling serious 
organised crime, illicit finance and transnational corr uption through research that 
informs politically feasible, technically sound interventions and strategies. Funded by 
the UK’s Foreign, Commonwealth & Development Office (FCDO), SOC ACE is a new 
component in the Anti -Corruption Evidence (ACE) research progr amme, alongside 
Global Integrity ACE and SOAS ACE. SOC ACE is managed by the University of 
Birmingham, working in collaboration with a number of leading research organisations 
and through consultation and engagement with key stakeholders.  
© Crown Copyright  2022.   
 
 
Find out more  
https://www.birmingham.ac.uk/schools/government/departments/international -"|input/report2.pdf|2|00ce808bcdd84bef88a5551a0a92f857
"© Crown Copyright  2022.   
 
 
Find out more  
https://www.birmingham.ac.uk/schools/government/departments/international -
development/research/soc -ace/in dex.aspx   
 @SOCACE_research  
SOC ACE  
University of Birmingham  
Birmingham  
B15 2TT  
United Kingdom"|input/report2.pdf|2|61ec58367a604e5a8745693d4cf408c5
"Corruption, crime and conflict in eastern Ukraine  
4 Contents  
Acronyms and abbreviations  5 
Summary  6 
1. Introduction  8 
2. Background  9 
2.1. Crimea  9 
2.2. Donbas  10 
2.3. Economic impact o f Donbas conflict  12 
3. Pre-conflict situation regarding organised crime and corruption  14 
3.1. Ukraine  14 
3.2. Crimea  15 
3.3. Donbas  16 
3.4. Anti -corruption measures  17 
4. Links between organised crime and conflict  18 
4.1. Crimea  18 
4.2. Donbas  19 
5. Links between organised crime a nd oligarchs  21 
5.1. Impact on transnational crime  22 
6. Conclusion  24 
7. References  25"|input/report2.pdf|3|8a1509bfdff64f6ead3d24943006443a
"Corruption, crime and conflict in eastern Ukraine  
5 Acronyms and abbreviations  
AMRO  Asset Management and Recovery Office (Ukraine)  
CADLR  Certain Areas of Donetsk and Luhansk Regions  
Donbas  Donetz Basin  
DPR  Donetsk People’s Republic  
EU European Union  
LPR  Luhansk People’s Republic  
NABU  National Anti -Corruption Bureau of Ukraine  
NAPC  National Agency for Prevention of Corruption  (Ukraine)  
NGCAs  Non -government Controlled Areas  
OCG  Organised Criminal Group  
SAPO  Specialized Anti -Corruption Prosecutor’s Office  (Ukraine)  
SBI State Bureau of Investigation  (Ukraine)  
SOC  Serious Organised Crime  
SOC ACE  Serious Organised Crime Anti -Corruption Evidence (Research 
Programme)  
UBO  Ultimate Beneficial Owner"|input/report2.pdf|4|9521fab4def34a1f8ca1aa9f35bc8879
"Corruption, crime and conflict in eastern Ukraine  
6 Summary  
Conflict in eastern Ukraine has been underway since 2014: the February 2014 ouster of 
pro-Russia President Yanukovych was followed in March by Russian annexation of 
Crimea, and its support for insurgency in the Donetz Basin (Donbas) – the latter is 
ongoing . This paper is a rapid literature review of the links between corruption, crime 
and conflict in eastern Ukraine. While Russia’s 2014 annexation of Crimea was rooted 
both in Moscow’s historic claims to the peninsula, as well as moves by Kiev to move 
closer  to the European Union, the ongoing insurgency in the Donetz Basin (Donbas) 
stems from structural factors such as industrial decline. Russian support for the Donbas 
insurgents, alongside  its failure to recognise the republics that they announced (Donetsk 
People’s Republic and Luhansk People’s Republic), suggests that Moscow’s real goal is to 
put pressure on the Ukrainian government and prevent its integration into Western 
structures.  
The paper assesses the impact of the conflict on the economy of Crimea an d Donbas. 
Russia has tried to demonstrate the benefits to Crimea of annexation by pumping vast 
resources into the region, but this resource injection has been unable to overcome the 
effects of wide -ranging Western sanctions. Donbas’ economy has been even m ore badly 
affected by ongoing conflict, with thousands displaced and an economic blockade"|input/report2.pdf|5|cb513bcfca3f4ff096456a5043047ef0
"affected by ongoing conflict, with thousands displaced and an economic blockade 
imposed by Kiev greatly limiting trade. Here too, Moscow has had to step in with 
subsidies and humanitarian assistance.  
The paper also looks at the involvement of or ganised criminal groups (OCGs) in the 
conflict, and the impact of the conflict on organised crime in the region. With regard to 
the former it finds that OCGs played a big role in Russia’s annexation of Crimea, fighting 
alongside Russian forces (without the ir insignia) and other volunteers. This highlights 
the complementary and symbiotic nature of the connection between criminal groups 
and the Russian state. OCGs in the Donbas region had strong links with the Yanukovych 
government in Ukraine, ousted in 2014 – hence it is no surprise that these groups were 
heavily involved in the Donbas insurgency.  
With regard to how organised crime has been affected by conflict, the paper finds that 
corruption was a massive problem in Ukraine long before the conflict in the e ast. 
Moreover, it involved all  levels of the government system  and was strongly linked to 
organised crime. OCGs were especially prevalent in Crimea, while Donbas was even 
more notorious for criminality. Post -Crimea’s annexation, links between OCGs in Crime a 
and in Russia became even stronger. Ironically, due to the vast influx of Russian 
development funds, Crimea represented an opportunity for embezzlement and"|input/report2.pdf|5|315179d71d24469b848503a1fc8e2639
"development funds, Crimea represented an opportunity for embezzlement and 
corruption for Russian and Crimean OCGs. Closer ties were even forged between 
Russian OCGs and tho se in Ukraine. Since the conflict in Donbas began – and given the 
economic blockade, and falling Russian funding support - the region has become heavily 
dependent on organised crime.  
The paper also finds that oligarchs, with close ties to organised crime,  have benefited 
hugely from Crimea becoming part of Russia, e.g. seizing property belonging to pro -"|input/report2.pdf|5|30e1bbd60da640c89b8397b2a56c5d18
"Corruption, crime and conflict in eastern Ukraine  
7 Ukraine business elites. Ties with political elites are equally strong: gangs gain 
protection from political patronage, in turn giving kickbacks to politicia ns. 
One final aspect explored in the paper is transnational crime. It finds that this has risen 
since the annexation of Crimea and conflict in Donbas, including a rise in smuggling of 
illicit goods into Europe, and a rise in organised crime in Ukraine. Sev astopol could 
potentially take over as a smuggling hub from Odesa, while Crimea and Ukraine could 
become a global money laundering centre. Criminality in Russia has also increased, seen 
in rises in drug and arms trafficking and criminal cases. The drop in cross -border 
cooperation to combat crime has contributed to greater criminality.     
The paper concludes that corruption, crime and conflict are heavily intermeshed in 
eastern Ukraine, with each reinforcing the other in what appears to be a downward 
spiral  of escalation."|input/report2.pdf|6|9ec254020ea8474db8ec8ce943a0a8e2
